    0.8198428345E+02 0.0000000000E+00   -0.9579771423E+02 0.0000000000E+00    0.6394635439E+00 0.0000000000E+00   -0.5740386248E+00 0.0000000000E+00    0.7998865913E-03 0.0000000000E+00   -0.6087892130E-01 0.0000000000E+00   -0.5297446728E+01 0.0000000000E+00   -0.2017830610E+01 0.0000000000E+00   -0.1457934380E+01 0.0000000000E+00    0.1573387718E+02 0.0000000000E+00
    0.8171230316E+02 0.0000000000E+00   -0.9524043274E+02 0.0000000000E+00    0.6387559772E+00 0.0000000000E+00   -0.5642642379E+00 0.0000000000E+00    0.3150509670E-02 0.0000000000E+00   -0.5807344243E-01 0.0000000000E+00   -0.5269350529E+01 0.0000000000E+00   -0.1348570704E+01 0.0000000000E+00   -0.1511269212E+01 0.0000000000E+00    0.1551852798E+02 0.0000000000E+00
    0.8172403717E+02 0.0000000000E+00   -0.9532969666E+02 0.0000000000E+00    0.6371390820E+00 0.0000000000E+00   -0.5621174574E+00 0.0000000000E+00    0.3756439779E-02 0.0000000000E+00   -0.5751932412E-01 0.0000000000E+00   -0.5336844444E+01 0.0000000000E+00   -0.1311660171E+01 0.0000000000E+00   -0.1494898438E+01 0.0000000000E+00    0.1552541542E+02 0.0000000000E+00
    0.8190576172E+02 0.0000000000E+00   -0.9569683075E+02 0.0000000000E+00    0.6382833123E+00 0.0000000000E+00   -0.5693333149E+00 0.0000000000E+00    0.2011117293E-02 0.0000000000E+00   -0.5935961381E-01 0.0000000000E+00   -0.5371332169E+01 0.0000000000E+00   -0.1695748806E+01 0.0000000000E+00   -0.1451521516E+01 0.0000000000E+00    0.1564341831E+02 0.0000000000E+00
    0.8179408264E+02 0.0000000000E+00   -0.9539910889E+02 0.0000000000E+00    0.6394031048E+00 0.0000000000E+00   -0.5677465796E+00 0.0000000000E+00    0.2299650572E-02 0.0000000000E+00   -0.5905738845E-01 0.0000000000E+00   -0.5262012482E+01 0.0000000000E+00   -0.1544438243E+01 0.0000000000E+00   -0.1498445749E+01 0.0000000000E+00    0.1557697487E+02 0.0000000000E+00
    0.8180541992E+02 0.0000000000E+00   -0.9548058319E+02 0.0000000000E+00    0.6381931305E+00 0.0000000000E+00   -0.5659682751E+00 0.0000000000E+00    0.2797971712E-02 0.0000000000E+00   -0.5849377811E-01 0.0000000000E+00   -0.5335489750E+01 0.0000000000E+00   -0.1481751323E+01 0.0000000000E+00   -0.1479365706E+01 0.0000000000E+00    0.1557175064E+02 0.0000000000E+00
    0.8181790161E+02 0.0000000000E+00   -0.9555154419E+02 0.0000000000E+00    0.6372095942E+00 0.0000000000E+00   -0.5648055077E+00 0.0000000000E+00    0.3139643231E-02 0.0000000000E+00   -0.5819319189E-01 0.0000000000E+00   -0.5383926392E+01 0.0000000000E+00   -0.1459100604E+01 0.0000000000E+00   -0.1465818286E+01 0.0000000000E+00    0.1557669449E+02 0.0000000000E+00
    0.8181671143E+02 0.0000000000E+00   -0.9551648712E+02 0.0000000000E+00    0.6379636526E+00 0.0000000000E+00   -0.5659353733E+00 0.0000000000E+00    0.2822354203E-02 0.0000000000E+00   -0.5847788230E-01 0.0000000000E+00   -0.5351628780E+01 0.0000000000E+00   -0.1490365267E+01 0.0000000000E+00   -0.1473472476E+01 0.0000000000E+00    0.1557779121E+02 0.0000000000E+00
    0.8180312347E+02 0.0000000000E+00   -0.9545296478E+02 0.0000000000E+00    0.6386862993E+00 0.0000000000E+00   -0.5667330623E+00 0.0000000000E+00    0.2586229006E-02 0.0000000000E+00   -0.5871674791E-01 0.0000000000E+00   -0.5308621883E+01 0.0000000000E+00   -0.1507677078E+01 0.0000000000E+00   -0.1485997319E+01 0.0000000000E+00    0.1557409668E+02 0.0000000000E+00
    0.8179782104E+02 0.0000000000E+00   -0.9542465973E+02 0.0000000000E+00    0.6390460730E+00 0.0000000000E+00   -0.5672101974E+00 0.0000000000E+00    0.2449611668E-02 0.0000000000E+00   -0.5887292325E-01 0.0000000000E+00   -0.5285849094E+01 0.0000000000E+00   -0.1523369789E+01 0.0000000000E+00   -0.1492192268E+01 0.0000000000E+00    0.1557467842E+02 0.0000000000E+00
    0.8170878601E+02 0.0000000000E+00   -0.9523843384E+02 0.0000000000E+00    0.6386086345E+00 0.0000000000E+00   -0.5639326572E+00 0.0000000000E+00    0.3236869350E-02 0.0000000000E+00   -0.5798101425E-01 0.0000000000E+00   -0.5274856567E+01 0.0000000000E+00   -0.1336291313E+01 0.0000000000E+00   -0.1510715246E+01 0.0000000000E+00    0.1551608944E+02 0.0000000000E+00
    0.8185562897E+02 0.0000000000E+00   -0.9558209229E+02 0.0000000000E+00    0.6384105086E+00 0.0000000000E+00   -0.5678897500E+00 0.0000000000E+00    0.2337310696E-02 0.0000000000E+00   -0.5899723619E-01 0.0000000000E+00   -0.5344624043E+01 0.0000000000E+00   -0.1595020652E+01 0.0000000000E+00   -0.1467665076E+01 0.0000000000E+00    0.1560759640E+02 0.0000000000E+00
    0.8187518311E+02 0.0000000000E+00   -0.9563305664E+02 0.0000000000E+00    0.6382271647E+00 0.0000000000E+00   -0.5682113767E+00 0.0000000000E+00    0.2276306739E-02 0.0000000000E+00   -0.5906664580E-01 0.0000000000E+00   -0.5362840652E+01 0.0000000000E+00   -0.1623298645E+01 0.0000000000E+00   -0.1459521890E+01 0.0000000000E+00    0.1561968327E+02 0.0000000000E+00
    0.8181388092E+02 0.0000000000E+00   -0.9549224854E+02 0.0000000000E+00    0.6383535266E+00 0.0000000000E+00   -0.5664901137E+00 0.0000000000E+00    0.2665959997E-02 0.0000000000E+00   -0.5863390490E-01 0.0000000000E+00   -0.5330960274E+01 0.0000000000E+00   -0.1507188797E+01 0.0000000000E+00   -0.1478786707E+01 0.0000000000E+00    0.1557836628E+02 0.0000000000E+00
    0.8179384613E+02 0.0000000000E+00   -0.9544874573E+02 0.0000000000E+00    0.6383170485E+00 0.0000000000E+00   -0.5658237934E+00 0.0000000000E+00    0.2822590992E-02 0.0000000000E+00   -0.5846136808E-01 0.0000000000E+00   -0.5324411392E+01 0.0000000000E+00   -0.1467064142E+01 0.0000000000E+00   -0.1484121203E+01 0.0000000000E+00    0.1556511593E+02 0.0000000000E+00
    0.8177386475E+02 0.0000000000E+00   -0.9539492798E+02 0.0000000000E+00    0.6384832859E+00 0.0000000000E+00   -0.5655099750E+00 0.0000000000E+00    0.2882908797E-02 0.0000000000E+00   -0.5838780105E-01 0.0000000000E+00   -0.5307594299E+01 0.0000000000E+00   -0.1439519167E+01 0.0000000000E+00   -0.1491719007E+01 0.0000000000E+00    0.1555343914E+02 0.0000000000E+00
    0.8184938049E+02 0.0000000000E+00   -0.9557396698E+02 0.0000000000E+00    0.6383033395E+00 0.0000000000E+00   -0.5675148964E+00 0.0000000000E+00    0.2432314213E-02 0.0000000000E+00   -0.5889331922E-01 0.0000000000E+00   -0.5348369122E+01 0.0000000000E+00   -0.1574940562E+01 0.0000000000E+00   -0.1467906594E+01 0.0000000000E+00    0.1560221767E+02 0.0000000000E+00
    0.8183130646E+02 0.0000000000E+00   -0.9552116394E+02 0.0000000000E+00    0.6385720968E+00 0.0000000000E+00   -0.5674027205E+00 0.0000000000E+00    0.2438922180E-02 0.0000000000E+00   -0.5888275057E-01 0.0000000000E+00   -0.5325978756E+01 0.0000000000E+00   -0.1556379318E+01 0.0000000000E+00   -0.1476665735E+01 0.0000000000E+00    0.1559225845E+02 0.0000000000E+00
    0.8184637451E+02 0.0000000000E+00   -0.9554547882E+02 0.0000000000E+00    0.6387504339E+00 0.0000000000E+00   -0.5681853294E+00 0.0000000000E+00    0.2243756084E-02 0.0000000000E+00   -0.5910332873E-01 0.0000000000E+00   -0.5320721149E+01 0.0000000000E+00   -0.1601079941E+01 0.0000000000E+00   -0.1475176096E+01 0.0000000000E+00    0.1560501957E+02 0.0000000000E+00
    0.8185224915E+02 0.0000000000E+00   -0.9557739258E+02 0.0000000000E+00    0.6383622289E+00 0.0000000000E+00   -0.5677052736E+00 0.0000000000E+00    0.2383863553E-02 0.0000000000E+00   -0.5894612521E-01 0.0000000000E+00   -0.5346109390E+01 0.0000000000E+00   -0.1584892631E+01 0.0000000000E+00   -0.1467920423E+01 0.0000000000E+00    0.1560479450E+02 0.0000000000E+00
    0.8187633514E+02 0.0000000000E+00   -0.9563796997E+02 0.0000000000E+00    0.6381963491E+00 0.0000000000E+00   -0.5682100654E+00 0.0000000000E+00    0.2279216889E-02 0.0000000000E+00   -0.5906353518E-01 0.0000000000E+00   -0.5365404129E+01 0.0000000000E+00   -0.1624400377E+01 0.0000000000E+00   -0.1458574772E+01 0.0000000000E+00    0.1562050819E+02 0.0000000000E+00
    0.8183051300E+02 0.0000000000E+00   -0.9551934814E+02 0.0000000000E+00    0.6385861635E+00 0.0000000000E+00   -0.5674079061E+00 0.0000000000E+00    0.2436301671E-02 0.0000000000E+00   -0.5888554454E-01 0.0000000000E+00   -0.5324879646E+01 0.0000000000E+00   -0.1556081772E+01 0.0000000000E+00   -0.1477054119E+01 0.0000000000E+00    0.1559197044E+02 0.0000000000E+00
    0.8182125854E+02 0.0000000000E+00   -0.9549157715E+02 0.0000000000E+00    0.6387280226E+00 0.0000000000E+00   -0.5673618317E+00 0.0000000000E+00    0.2436780138E-02 0.0000000000E+00   -0.5888478458E-01 0.0000000000E+00   -0.5313046455E+01 0.0000000000E+00   -0.1547064424E+01 0.0000000000E+00   -0.1481604695E+01 0.0000000000E+00    0.1558698750E+02 0.0000000000E+00
    0.8185867310E+02 0.0000000000E+00   -0.9557659912E+02 0.0000000000E+00    0.6386646628E+00 0.0000000000E+00   -0.5684304833E+00 0.0000000000E+00    0.2192791319E-02 0.0000000000E+00   -0.5915950984E-01 0.0000000000E+00   -0.5330388069E+01 0.0000000000E+00   -0.1620988846E+01 0.0000000000E+00   -0.1470554113E+01 0.0000000000E+00    0.1561293507E+02 0.0000000000E+00
