Model  MLE  AIC BIC  sig plexp1 plamp1 GMrad plexp2 plamp2 poles BPamp
FL -6061.36 12140.7 12202.8 0.355 1.00 0.87 0.000 2.00 0.00 1 0.00
RW -5962.68 11943.4 12005.4 0.500 2.00 0.91 0.000 2.00 0.00 1 0.00
PL -5960.28 11940.6 12009.5 0.490 1.86 0.87 0.000 2.00 0.00 1 0.00
FLRW -5962.02 11944.0 12013.0 0.488 1.00 0.07 0.000 2.00 0.83 1 0.00
FOGM -5957.29 11934.6 12003.5 0.499 2.00 0.92 1.137 2.00 0.00 1 0.00
GM -5956.80 11935.6 12011.5 0.494 1.92 0.89 0.881 2.00 0.00 1 0.00
BP1 -5958.96 11937.9 12006.9 0.499 2.00 0.73 0.000 2.00 0.00 1 0.048
BP2 -5962.58 11945.2 12014.1 0.501 2.00 0.89 0.000 2.00 0.00 2 0.010
BP3 -5962.70 11945.4 12014.4 0.500 2.00 0.92 0.000 2.00 0.00 3 0.000
BP4 -5962.72 11945.4 12014.4 0.499 2.00 0.92 0.000 2.00 0.00 4 0.001
PLBP1 -5958.94 11939.9 12015.7 0.501 2.04 0.71 0.000 2.00 0.00 1 0.054
PLBP2 -5959.98 11942.0 12017.8 0.490 1.83 0.85 0.000 2.00 0.00 2 0.016
PLBP3 -5960.30 11942.6 12018.5 0.490 1.85 0.87 0.000 2.00 0.00 3 0.002
PLBP4 -5960.29 11942.6 12018.4 0.490 1.85 0.88 0.000 2.00 0.00 4 0.002
