Model	rate	intercept	365	182	offset
FL	data.in                     -1.535 +/-      0.391      5.611 +/-      0.090      2.821 +/-      0.110     -0.376 +/-      0.112      0.019 +/-      0.077      0.018 +/-      0.079     -9.450 +/-      0.417     -9.953 +/-      0.435
RW	data.in                      0.074 +/-      0.530      5.882 +/-      1.099      2.753 +/-      0.247     -0.378 +/-      0.248     -0.025 +/-      0.124      0.006 +/-      0.124     -9.584 +/-      0.454    -10.905 +/-      0.454
PL	data.in                      0.073 +/-      0.529      5.881 +/-      1.042      2.753 +/-      0.243     -0.378 +/-      0.244     -0.024 +/-      0.123      0.006 +/-      0.123     -9.583 +/-      0.456    -10.907 +/-      0.456
FLRW	data.in                      0.082 +/-      0.528      5.881 +/-      1.052      2.753 +/-      0.240     -0.378 +/-      0.240     -0.025 +/-      0.121      0.006 +/-      0.121     -9.579 +/-      0.456    -10.910 +/-      0.456
FOGM	data.in                      0.049 +/-      0.532      5.630 +/-      0.529      2.760 +/-      0.249     -0.378 +/-      0.249     -0.023 +/-      0.125      0.006 +/-      0.125     -9.584 +/-      0.456    -10.894 +/-      0.456
GM	data.in                      0.052 +/-      0.529      5.647 +/-      0.535      2.759 +/-      0.245     -0.378 +/-      0.245     -0.023 +/-      0.123      0.006 +/-      0.124     -9.585 +/-      0.455    -10.897 +/-      0.455
BP1	data.in                      0.069 +/-      0.529      5.883 +/-      1.079      2.753 +/-      0.243     -0.377 +/-      0.243     -0.025 +/-      0.123      0.006 +/-      0.123     -9.587 +/-      0.455    -10.910 +/-      0.455
BP2	data.in                      0.073 +/-      0.533      5.882 +/-      1.107      2.753 +/-      0.249     -0.378 +/-      0.249     -0.025 +/-      0.125      0.006 +/-      0.125     -9.583 +/-      0.456    -10.904 +/-      0.456
BP3	data.in                      0.074 +/-      0.532      5.882 +/-      1.102      2.753 +/-      0.248     -0.378 +/-      0.248     -0.025 +/-      0.124      0.006 +/-      0.125     -9.584 +/-      0.455    -10.905 +/-      0.455
BP4	data.in                      0.073 +/-      0.533      5.882 +/-      1.105      2.753 +/-      0.249     -0.378 +/-      0.249     -0.025 +/-      0.125      0.006 +/-      0.125     -9.583 +/-      0.456    -10.904 +/-      0.456
FLRWBP1	data.in                      0.085 +/-      0.525      5.880 +/-      1.036      2.753 +/-      0.237     -0.378 +/-      0.237     -0.025 +/-      0.119      0.005 +/-      0.120     -9.580 +/-      0.455    -10.912 +/-      0.455
FLRWBP2	data.in                      0.083 +/-      0.524      5.881 +/-      1.042      2.753 +/-      0.238     -0.378 +/-      0.238     -0.025 +/-      0.120      0.006 +/-      0.120     -9.580 +/-      0.454    -10.911 +/-      0.454
FLRWBP3	data.in                      0.084 +/-      0.525      5.880 +/-      1.040      2.753 +/-      0.237     -0.378 +/-      0.238     -0.025 +/-      0.120      0.005 +/-      0.120     -9.579 +/-      0.455    -10.911 +/-      0.455
FLRWBP4	data.in                      0.083 +/-      0.526      5.881 +/-      1.050      2.753 +/-      0.239     -0.378 +/-      0.239     -0.025 +/-      0.120      0.006 +/-      0.121     -9.581 +/-      0.454    -10.910 +/-      0.454
